,Country,Recycling,Composting,Incineration_with_energy_recovery,Incineration_without_energy_recovery,Landfill,Other,WMRP_Link,RP_link
1,Turkey,11.947,0.382,0.001,0,87.668,0.002,https://cms.law/en/tur/news-information/waste-management-in-turkey,https://borgenproject.org/zero-waste-project-in-turkey/
2,Estonia,25.75,3.969,43.735,0,22.802,3.746,https://envir.ee/en/waste-emissions-circular-economy/waste,https://www.bottlebill.org/index.php/current-and-proposed-laws/worldwide/estonia
3,Greece,14.737,4.137,1.071,0,80.055,0,https://sustainabledevelopment.un.org/content/documents/dsd/dsd_aofw_ni/ni_pdfs/NationalReports/greece/Greece_CSD18-19-Chapter_%20IV-Waste_Management.pdf,https://news.trust.org/item/20220721155610-hvcf4
4,Hungary,28.964,8.249,13.374,0,49.413,0,https://sustainabledevelopment.un.org/content/documents/dsd/dsd_aofw_ni/ni_pdfs/NationalReports/hungary/Waste_Management.pdf,https://welovebudapest.com/en/article/2021/3/11/budapest-complete-guide-to-recycling-and-waste-management-in-budapest
5,Ireland,32.012,9.045,32.342,0,22.87,3.731,https://www.epa.ie/our-services/monitoring--assessment/assessment/irelands-environment/waste/,https://www.terracycle.com/en-IE
6,Norway,30.989,9.716,51.074,0,3.148,5.073,https://www.un.org/esa/dsd/resources/res_pdfs/csd-18/05may/waste/Norway.pdf,https://www.intelligentliving.co/norway-incredible-recycling-scheme/
7,United States,25.087,10.079,12.708,0,52.127,0,https://www.epa.gov/hwgenerators/links-hazardous-waste-programs-and-us-state-environmental-agencies,https://www.epa.gov/recyclingstrategy/us-recycling-system
8,Sweden,29.887,15.945,53.496,0,0.672,0,https://smartcitysweden.com/focus-areas/climate-environment/waste-management/,https://sweden.se/climate/sustainability/swedish-recycling-and-beyond
9,Denmark,31.289,16.659,51.15,0,0.924,0,https://eng.mst.dk/air-noise-waste/waste/,https://www.recycleindenmark.com/
10,Portugal,12.806,17.488,18.782,0,50.924,0,https://www.eib.org/en/stories/portugal-sustainable-waste-management,https://www.portugalvisitor.com/portugal-culture/recycling
11,Spain,18.258,17.737,13.042,0,50.963,0,https://www.eea.europa.eu/publications/managing-municipal-solid-waste/spain-municipal-waste-management/view,https://almunecarinfo.com/how-to-recycle-in-spain/
12,Switzerland,30.872,21.623,47.505,0,0.02,0,https://sustainabledevelopment.un.org/content/documents/dsd/dsd_aofw_ni/ni_pdfs/NationalReports/switzerland/waste.pdf,https://studyinginswitzerland.com/recycling-in-switzerland/
13,Luxembourg,28.053,22.212,43.57,0,6.165,0,https://circulareconomy.europa.eu/platform/en/strategies/luxembourgs-national-waste-and-resource-management-plan,https://www.vdl.lu/en/living/your-home/waste-collection-and-sorting/collection-type/recycling-centre
14,Lithuania,27.024,31.566,13.948,0,27.461,0,https://wilderness-society.org/waste-management-in-lithuania/,https://www.wastewiseproductsinc.com/blog/programs-initatives/lithuania-introduces-plastic-recycling-deposit-scheme-and-within-3-years-theres-a-93-percent-recycling-rate/
15,Austria,25.81,32.744,39.208,0,2.24,0,https://www.oesterreich.gv.at/en/themen/bauen_wohnen_und_umwelt/abfall/1/Seite.3790031.html,https://austriarecycling.at/en/
16,Chile,1.35,0.021,0.007,0.004,98.081,0.461,https://www.arcadis.com/en/projects/north-america/canada/can-chile,https://www.rapidtransition.org/stories/catch-chiles-waste-reduction-bus-how-behaviour-change-new-infrastructure-and-different-business-models-are-cutting-waste/
